,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME
39,000300.SH,20100305,3253.164,3276.403,3239.677,3259.764,45629138.0
40,000300.SH,20100308,3268.397,3293.93,3258.034,3286.178,41540876.0
41,000300.SH,20100309,3285.62,3322.506,3255.982,3305.863,54199486.0
42,000300.SH,20100310,3304.036,3321.081,3267.761,3279.694,46421079.0
43,000300.SH,20100311,3282.199,3303.488,3251.704,3276.705,47487754.0
44,000300.SH,20100312,3277.309,3284.263,3232.117,3233.126,39957344.0
45,000300.SH,20100315,3231.216,3234.821,3171.803,3183.183,37844304.0
46,000300.SH,20100316,3183.775,3204.289,3169.098,3203.971,30847780.0
47,000300.SH,20100317,3214.216,3273.998,3207.271,3273.916,45800934.0
48,000300.SH,20100318,3277.883,3295.368,3256.593,3267.555,46948013.0
49,000300.SH,20100319,3270.978,3296.411,3251.136,3293.871,46062187.0
50,000300.SH,20100322,3297.824,3313.922,3288.506,3302.628,49439462.0
51,000300.SH,20100323,3305.554,3309.12,3272.921,3275.573,46539536.0
52,000300.SH,20100324,3282.052,3298.543,3271.033,3276.669,44547966.0
53,000300.SH,20100325,3270.39,3270.39,3222.821,3229.128,44984285.0
54,000300.SH,20100326,3226.8,3285.388,3220.594,3275.002,47444965.0
55,000300.SH,20100329,3295.763,3363.605,3293.671,3358.54,84724910.0
56,000300.SH,20100330,3361.353,3372.265,3350.313,3366.708,56436980.0
57,000300.SH,20100331,3369.193,3369.901,3338.745,3345.607,53124287.0
58,000300.SH,20100401,3349.884,3392.481,3349.884,3391.935,67772669.0
59,000300.SH,20100402,3400.139,3412.2,3391.806,3407.346,69073452.0
60,000300.SH,20100406,3422.849,3436.29,3386.888,3405.145,65191710.0
61,000300.SH,20100407,3403.088,3404.582,3369.017,3386.949,54011228.0
62,000300.SH,20100408,3381.306,3381.306,3336.156,3346.744,62185322.0
63,000300.SH,20100409,3348.773,3379.398,3342.471,3379.17,51280567.0
64,000300.SH,20100412,3388.355,3393.557,3330.3,3351.478,74565150.0
65,000300.SH,20100413,3350.726,3401.707,3324.048,3391.716,79907695.0
66,000300.SH,20100414,3394.635,3404.516,3377.437,3403.707,60306131.0
67,000300.SH,20100415,3407.025,3412.937,3365.881,3394.574,61051685.0
68,000300.SH,20100416,3388.286,3388.286,3348.781,3356.332,47140368.0
69,000300.SH,20100419,3313.499,3313.499,3175.441,3176.423,88416300.0
70,000300.SH,20100420,3176.414,3196.646,3130.96,3173.374,64137859.0
71,000300.SH,20100421,3178.877,3237.537,3164.765,3236.679,66928331.0
72,000300.SH,20100422,3222.68,3231.985,3177.726,3201.541,71081688.0
73,000300.SH,20100423,3198.784,3224.739,3172.578,3190.003,61252679.0
74,000300.SH,20100426,3195.457,3207.715,3168.374,3171.997,50894199.0
75,000300.SH,20100427,3163.101,3163.101,3060.854,3108.409,65296574.0
76,000300.SH,20100428,3080.324,3122.115,3062.085,3097.353,45995406.0
77,000300.SH,20100429,3114.941,3130.696,3059.796,3060.064,48260971.0
78,000300.SH,20100430,3060.12,3068.127,3014.069,3067.365,54477881.0
79,000300.SH,20100504,3005.487,3056.082,2994.921,3019.449,41248610.0
80,000300.SH,20100505,2981.777,3036.865,2943.361,3036.394,59670441.0
81,000300.SH,20100506,3014.907,3014.907,2895.392,2896.856,58770413.0
82,000300.SH,20100507,2835.879,2892.533,2817.153,2836.789,61119399.0
83,000300.SH,20100510,2842.366,2872.314,2798.523,2858.233,50209173.0
84,000300.SH,20100511,2916.335,2922.125,2790.701,2800.817,58363490.0
85,000300.SH,20100512,2781.708,2832.147,2756.422,2818.16,53002271.0
86,000300.SH,20100513,2818.578,2886.972,2811.661,2886.911,55145778.0
87,000300.SH,20100514,2865.58,2888.093,2849.241,2868.023,42498719.0
88,000300.SH,20100517,2828.882,2828.882,2712.444,2714.715,52166847.0
89,000300.SH,20100518,2711.407,2781.845,2686.973,2771.348,54509671.0
90,000300.SH,20100519,2748.952,2803.695,2723.304,2762.174,45576221.0
91,000300.SH,20100520,2739.219,2793.876,2721.072,2726.022,42174803.0
92,000300.SH,20100521,2656.419,2769.094,2647.597,2768.791,54475383.0
93,000300.SH,20100524,2787.751,2886.368,2787.751,2873.469,74502338.0
94,000300.SH,20100525,2851.256,2855.332,2798.02,2813.943,55168327.0
95,000300.SH,20100526,2814.444,2839.031,2797.628,2813.944,39858564.0
96,000300.SH,20100527,2808.048,2866.865,2771.586,2859.979,53445209.0
97,000300.SH,20100528,2885.857,2893.687,2835.069,2850.302,51534989.0
98,000300.SH,20100531,2835.334,2857.416,2772.792,2773.264,46216854.0
99,000300.SH,20100601,2755.284,2782.288,2710.593,2744.162,44851426.0
100,000300.SH,20100602,2729.328,2757.914,2700.075,2757.527,39587020.0
101,000300.SH,20100603,2769.096,2787.512,2735.7,2736.076,39587258.0
102,000300.SH,20100604,2721.359,2748.476,2713.095,2744.391,32746291.0
103,000300.SH,20100607,2692.831,2716.401,2673.342,2695.715,39541993.0
104,000300.SH,20100608,2694.106,2720.586,2672.058,2699.336,35140182.0
105,000300.SH,20100609,2711.642,2787.825,2687.331,2782.133,60209533.0
106,000300.SH,20100610,2755.94,2776.259,2746.107,2750.023,42906334.0
107,000300.SH,20100611,2766.196,2782.095,2755.949,2758.866,40558585.0
108,000300.SH,20100617,2778.533,2784.916,2742.64,2742.733,32612356.0
109,000300.SH,20100618,2739.032,2755.842,2686.614,2696.166,41808344.0
110,000300.SH,20100621,2698.984,2784.47,2686.323,2780.663,55261482.0
111,000300.SH,20100622,2772.886,2795.323,2766.443,2783.72,39096052.0
112,000300.SH,20100623,2768.695,2788.219,2734.047,2758.495,35600350.0
113,000300.SH,20100624,2753.712,2783.508,2739.807,2757.498,29220682.0
